SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
7649,"2009","1","Miscellaneous","Employee gift","2009","Heart",,92,,,,,"https://images.brickset.com/sets/images/2009-1.jpg",110,189
9698,"3592","1","Games","","2009","Knights' Kingdom Board Game",,,,,,,27,106
6751,"3594","1","Duplo","Bob the Builder","2009","Bob's Workshop",1,14,12.69,14.99,,,"https://images.brickset.com/sets/images/3594-1.jpg",89,46
6825,"3595","1","Duplo","Bob the Builder","2009","Scoop at Bobland Bay",,28,15.65,19.99,,,"https://images.brickset.com/sets/images/3595-1.jpg",116,46
6826,"3596","1","Duplo","Bob the Builder","2009","Muck Can Do It",,39,22.49,29.99,,,"https://images.brickset.com/sets/images/3596-1.jpg",100,47
6827,"3597","1","Duplo","Bob the Builder","2009","Lofty and Dizzy Hard At Work",1,51,29.35,39.99,,,"https://images.brickset.com/sets/images/3597-1.jpg",74,47
6888,"3833","1","SpongeBob SquarePants","","2009","Krusty Krab Adventures",3,209,24.99,24.99,34.99,26.99,"https://images.brickset.com/sets/images/3833-1.jpg",2586,704
6889,"3834","1","SpongeBob SquarePants","","2009","Good Neighbours at Bikini Bottom",3,425,39.99,39.99,54.99,52.99,"https://images.brickset.com/sets/images/3834-1.jpg",1862,727
7146,"3835","1","Games","","2009","Robo Champ",,118,7.99,4.99,12.99,,"https://images.brickset.com/sets/images/3835-1.jpg",1796,275
7147,"3836","1","Games","","2009","Magikus ",,108,7.99,9.99,12.99,,"https://images.brickset.com/sets/images/3836-1.jpg",1634,295
7148,"3837","1","Games","","2009","Monster 4",,141,9.99,14.99,19.99,,"https://images.brickset.com/sets/images/3837-1.jpg",1731,349
7149,"3838","1","Games","","2009","Lava Dragon ",4,131,9.99,14.99,19.99,12.99,"https://images.brickset.com/sets/images/3838-1.jpg",1645,341
7151,"3839","1","Games","","2009","Race 3000",,166,14.99,9.99,26.99,,"https://images.brickset.com/sets/images/3839-1.jpg",1559,378
