SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
26649,"10255","1","Advanced Models","Modular Buildings","2017","Assembly Square",9,4002,179.99,279.99,339.99,239.99,"https://images.brickset.com/sets/images/10255-1.jpg",5334,5045
27618,"10256","1","Advanced Models","Buildings","2017","Taj Mahal",,5923,299.99,369.99,,329.99,"https://images.brickset.com/sets/images/10256-1.jpg",126,968
27180,"10257","1","Advanced Models","Fairground","2017","Carousel",7,2670,159.99,199.99,249.99,179.99,"https://images.brickset.com/sets/images/10257-1.jpg",2069,2608
27237,"10258","1","Advanced Models","Vehicles","2017","London Bus",,1686,109.99,139.99,179.99,119.99,"https://images.brickset.com/sets/images/10258-1.jpg",1885,2065
27459,"10259","1","Advanced Models","Winter Village","2017","Winter Village Station",5,902,74.99,79.99,99.99,69.99,"https://images.brickset.com/sets/images/10259-1.jpg",2551,1787
26556,"10703","1","Classic","","2017","Creative Builder Box",,502,19.99,,,24.99,"https://images.brickset.com/sets/images/10703-1.jpg",542,354
26773,"10704","1","Classic","","2017","Creative Box",,900,29.99,,,34.99,"https://images.brickset.com/sets/images/10704-1.jpg",385,235
26557,"10706","1","Classic","","2017","Blue Creative Box",,78,4.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/10706-1.jpg",1276,154
26558,"10707","1","Classic","","2017","Red Creative Box",,55,4.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/10707-1.jpg",1028,140
26559,"10708","1","Classic","","2017","Green Creative Box",,66,4.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/10708-1.jpg",1109,164
26560,"10709","1","Classic","","2017","Orange Creative Box",,60,4.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/10709-1.jpg",1079,159
26764,"10730","1","Juniors","Cars 3","2017","Lightning McQueen Speed Launcher",,47,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10730-1.jpg",607,209
26765,"10731","1","Juniors","Cars 3","2017","Cruz Ramirez Race Simulator",,59,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10731-1.jpg",388,179
26766,"10732","1","Juniors","Cars 3","2017","Guido and Luigi's Pit Stop",,75,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10732-1.jpg",424,205
26767,"10733","1","Juniors","Cars 3","2017","Mater's Junkyard",,62,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10733-1.jpg",577,218
26561,"10734","1","Juniors","City","2017","Demolition Site",3,175,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/10734-1.jpg",219,257
26562,"10735","1","Juniors","City","2017","Police Truck Chase",2,90,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10735-1.jpg",218,141
26563,"10736","1","Juniors","Disney Princess","2017","Anna and Elsa's Frozen Playground",2,94,19.99,24.99,29.99,24.99,"https://images.brickset.com/sets/images/10736-1.jpg",318,291
26564,"10737","1","Juniors","DC Comics Super Heroes","2017","Batman vs. Mr. Freeze",2,63,12.99,14.99,17.99,14.99,"https://images.brickset.com/sets/images/10737-1.jpg",763,406
26768,"10738","1","Juniors","Disney Princess","2017","Snow White's Forest Cottage",1,67,12.99,14.99,17.99,14.99,"https://images.brickset.com/sets/images/10738-1.jpg",305,283
26769,"10739","1","Juniors","Ninjago","2017","Shark Attack",3,108,15.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10739-1.jpg",240,212
26565,"10740","1","Juniors","City","2017","Fire Patrol Suitcase",2,110,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10740-1.jpg",200,115
