SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
7325,"620","3","Bricks and More","","2010","Blue Building Plate",,1,6.99,4.99,7.99,6.99,"https://images.brickset.com/sets/images/620-3.jpg",3869,602
8497,"2010","2","Miscellaneous","Employee gift","2010","Happy Holidays - The Christmas Game",,139,,,,,"https://images.brickset.com/sets/images/2010-2.jpg",120,337
7639,"2824","1","City","Seasonal","2010","City Advent Calendar",6,271,24.99,34.99,39.99,,"https://images.brickset.com/sets/images/2824-1.jpg",3194,899
7261,"3177","1","City","Traffic","2010","Small Car",1,43,3.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/3177-1.jpg",12042,1548
7262,"3178","1","City","Airport","2010","Seaplane",1,102,8.49,10.99,14.99,9.99,"https://images.brickset.com/sets/images/3178-1.jpg",7904,1333
7263,"3179","1","City","Traffic","2010","Repair Truck",1,118,9.99,12.99,17.99,12.99,"https://images.brickset.com/sets/images/3179-1.jpg",8642,1783
7264,"3180","1","City","Traffic","2010","Tank Truck",1,222,14.99,19.99,26.99,19.99,"https://images.brickset.com/sets/images/3180-1.jpg",7997,2491
7298,"3181","1","City","Airport","2010","Passenger Plane",3,309,35.99,39.99,54.99,34.99,"https://images.brickset.com/sets/images/3181-1.jpg",5242,2208
7265,"3182","1","City","Airport","2010","Airport",5,703,81.99,99.99,129.99,89.99,"https://images.brickset.com/sets/images/3182-1.jpg",4640,3043
7597,"3221","1","City","Traffic","2010","LEGO City Truck",2,278,29.99,34.99,44.99,29.99,"https://images.brickset.com/sets/images/3221-1.jpg",9148,3108
7568,"3222","1","City","Airport","2010","Helicopter and Limousine",4,267,19.99,29.99,39.99,,"https://images.brickset.com/sets/images/3222-1.jpg",3973,2873
7585,"3845","1","Games","","2010","Shave A Sheep",,118,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/3845-1.jpg",1706,341
7586,"3846","1","Games","","2010","UFO Attack",1,88,7.99,,,9.99,"https://images.brickset.com/sets/images/3846-1.jpg",377,423
7587,"3847","1","Games","","2010","Magma Monster",4,95,9.99,14.99,19.99,,"https://images.brickset.com/sets/images/3847-1.jpg",902,352
7588,"3848","1","Games","","2010","Pirate Plank",5,122,9.99,14.99,19.99,12.99,"https://images.brickset.com/sets/images/3848-1.jpg",1251,423
7895,"3849","1","Games","","2010","Orient Bazaar",5,204,17.99,19.99,26.99,,"https://images.brickset.com/sets/images/3849-1.jpg",815,484
7925,"3850","1","Games","","2010","Meteor Strike",2,185,17.99,19.99,26.99,,"https://images.brickset.com/sets/images/3850-1.jpg",742,408
7896,"3851","1","Games","","2010","Atlantis Treasure",1,280,19.99,24.99,34.99,,"https://images.brickset.com/sets/images/3851-1.jpg",845,437
7637,"3862","1","Games","Licensed","2010","Harry Potter Hogwarts",9,332,24.99,34.99,39.99,34.99,"https://images.brickset.com/sets/images/3862-1.jpg",2688,574
7686,"4736","1","Harry Potter","Chamber of Secrets","2010","Freeing Dobby",3,73,10.49,10.99,14.99,13.99,"https://images.brickset.com/sets/images/4736-1.jpg",5951,1264
7687,"4737","1","Harry Potter","General","2010","Quidditch Match",5,153,20.99,19.99,26.99,25.99,"https://images.brickset.com/sets/images/4737-1.jpg",4768,1473
7688,"4738","1","Harry Potter","General","2010","Hagrid's Hut",4,442,40.99,39.99,54.99,49.99,"https://images.brickset.com/sets/images/4738-1.jpg",5021,1887
7689,"4840","1","Harry Potter","Half-Blood Prince","2010","The Burrow",6,568,61.99,59.99,79.99,69.99,"https://images.brickset.com/sets/images/4840-1.jpg",4365,2358
7690,"4841","1","Harry Potter","General","2010","Hogwarts Express",5,646,81.99,79.99,109.99,79.99,"https://images.brickset.com/sets/images/4841-1.jpg",3750,2474
7691,"4842","1","Harry Potter","General","2010","Hogwarts Castle",11,1290,102.99,129.99,174.99,129.99,"https://images.brickset.com/sets/images/4842-1.jpg",5399,2934
7318,"5497","1","Duplo","","2010","Play with Numbers",1,58,24.99,24.99,34.99,29.99,"https://images.brickset.com/sets/images/5497-1.jpg",576,51
7573,"5506","1","Duplo","","2010","Duplo Large Brick Box",1,71,25.99,29.99,29.99,27.99,"https://images.brickset.com/sets/images/5506-1.jpg",440,31
7590,"5507","1","Duplo","","2010","Duplo Deluxe Brick Box",2,102,35.99,49.99,49.99,44.99,"https://images.brickset.com/sets/images/5507-1.jpg",254,31
7589,"5508","1","Bricks and More","","2010","LEGO Deluxe Brick Box",2,704,35.99,49.99,59.99,44.99,"https://images.brickset.com/sets/images/5508-1.jpg",868,215
7714,"5509","1","Duplo","","2010","Duplo Basic Bricks",,45,10.49,,,12.99,"https://images.brickset.com/sets/images/5509-1.jpg",126,22
8027,"5511","1","Duplo","","2010","LEGO Duplo XXL Box",,201,49.99,,,59.99,"https://images.brickset.com/sets/images/5511-1.jpg",105,30
8028,"5512","1","Bricks and More","","2010","LEGO XXL Box",,1600,49.99,,,59.99,"https://images.brickset.com/sets/images/5512-1.jpg",653,138
7638,"5529","1","Bricks and More","","2010","Basic Bricks",,325,13.99,,,12.99,"https://images.brickset.com/sets/images/5529-1.jpg",389,97
7715,"5548","1","Duplo","","2010","Duplo Building Fun",,81,19.99,29.99,39.99,24.99,"https://images.brickset.com/sets/images/5548-1.jpg",75,23
7718,"5549","1","Bricks and More","","2010","LEGO Building Fun",,651,19.99,29.99,39.99,24.99,"https://images.brickset.com/sets/images/5549-1.jpg",305,115
7572,"5622","1","Duplo","","2010","Duplo Basic Bricks - Large",,60,15.99,,,16.99,"https://images.brickset.com/sets/images/5622-1.jpg",106,22
7574,"5623","1","Bricks and More","","2010","LEGO Basic Bricks - Large",,450,15.99,,,16.99,"https://images.brickset.com/sets/images/5623-1.jpg",408,109
7317,"5643","1","Duplo","Farm","2010","Little Piggy",1,4,4.99,4.99,6.99,4.99,"https://images.brickset.com/sets/images/5643-1.jpg",681,51
7322,"5644","1","Duplo","Farm","2010","Chicken Coop",1,11,7.99,8.99,10.99,7.99,"https://images.brickset.com/sets/images/5644-1.jpg",571,57
7321,"5645","1","Duplo","Farm","2010","Farm Bike",1,9,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/5645-1.jpg",873,54
