SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
7648,"2008","1","Miscellaneous","Employee gift","2008","Heart",,92,,,,,"https://images.brickset.com/sets/images/2008-1.jpg",34,158
6491,"2230","1","City","Airport","2008","Airline Promotional Set",2,115,,,,,"https://images.brickset.com/sets/images/2230-1.jpg",323,1251
6219,"3830","1","SpongeBob SquarePants","","2008","The Bikini Bottom Express",3,210,18.59,19.99,,,"https://images.brickset.com/sets/images/3830-1.jpg",1738,806
6220,"3831","1","SpongeBob SquarePants","","2008","Rocket Ride",3,279,26.45,29.99,,,"https://images.brickset.com/sets/images/3831-1.jpg",1393,804
6536,"3832","1","SpongeBob SquarePants","","2008","The Emergency Room",3,236,24.49,29.99,,,"https://images.brickset.com/sets/images/3832-1.jpg",620,761
6443,"4210","1","City","Coast Guard","2008","Coast Guard Platform",4,469,43.99,49.99,,,"https://images.brickset.com/sets/images/4210-1.jpg",1535,2474
6295,"4837","1","Creator","","2008","Mini Trains",,73,3.89,4.99,,,"https://images.brickset.com/sets/images/4837-1.jpg",3828,735
6294,"4838","1","Creator","","2008","Mini Vehicles",,79,3.89,4.99,,,"https://images.brickset.com/sets/images/4838-1.jpg",2643,492
6589,"4862","1","Duplo","Castle","2008","Ambush",2,15,9.79,16.99,,,"https://images.brickset.com/sets/images/4862-1.jpg",104,65
6591,"4863","1","Duplo","Castle","2008","Sentry & Catapult",2,41,19.55,24.99,,,"https://images.brickset.com/sets/images/4863-1.jpg",84,92
6590,"4864","1","Duplo","Castle","2008","Castle",3,115,54.99,79.99,,,"https://images.brickset.com/sets/images/4864-1.jpg",94,114
6592,"4897","1","City","Police","2008","Police Trike",,24,,,,,"https://images.brickset.com/sets/images/4897-1.jpg",610,1157
6593,"4898","1","City","Coast Guard","2008","Coast Guard Boat",1,35,,,,,"https://images.brickset.com/sets/images/4898-1.jpg",570,1270
6594,"4900","1","City","Fire","2008","Fire Helicopter",1,34,,,,,"https://images.brickset.com/sets/images/4900-1.jpg",1874,882
6435,"4993","1","Creator","","2008","Cool Convertible",,648,39.99,49.99,59.99,,"https://images.brickset.com/sets/images/4993-1.jpg",2161,1020
6237,"4994","1","Creator","","2008","Fierce Creatures",,193,8.79,12.99,,,"https://images.brickset.com/sets/images/4994-1.jpg",1563,501
6238,"4995","1","Creator","","2008","Cargo Copter",,272,15.65,19.99,,,"https://images.brickset.com/sets/images/4995-1.jpg",1588,644
6231,"4996","1","Creator","","2008","Beach House",,522,24.99,34.99,39.99,,"https://images.brickset.com/sets/images/4996-1.jpg",6945,2756
6436,"4997","1","Creator","","2008","Transport Ferry",,1279,51.85,69.99,,,"https://images.brickset.com/sets/images/4997-1.jpg",1431,1410
6437,"4998","1","Creator","","2008","Stegosaurus",,731,36.19,49.99,,,"https://images.brickset.com/sets/images/4998-1.jpg",896,816
6678,"4999","1","City","General","2008","Vestas Wind Turbine",3,815,,,,,"https://images.brickset.com/sets/images/4999-1.jpg",492,2786
6472,"5372","1","Castle","Fantasy Era","2008","Skeleton Chariot",,20,,,,,"https://images.brickset.com/sets/images/5372-1.jpg",326,1218
6474,"5373","1","Castle","Fantasy Era","2008","Knight & Catapult",,21,,,,,"https://images.brickset.com/sets/images/5373-1.jpg",246,976
9837,"5380","2","Duplo","","2008","Large Brick Box - Green Plate Version",1,71,,,,,"https://images.brickset.com/sets/images/5380-2.jpg",23,14
6457,"5522","1","Bricks and More","","2008","Golden Anniversary Set",,700,19.99,39.99,,,"https://images.brickset.com/sets/images/5522-1.jpg",690,324
6506,"5543","1","Duplo","Thomas the Tank Engine","2008","Percy at the Sheds",,34,17.59,19.99,,,"https://images.brickset.com/sets/images/5543-1.jpg",150,67
6507,"5544","1","Duplo","Thomas the Tank Engine","2008","Thomas Starter Set",1,82,39.99,49.99,,,"https://images.brickset.com/sets/images/5544-1.jpg",205,87
6601,"5572","1","Duplo","","2008","LEGO DUPLO Build & Play",1,100,29.35,44.99,,,"https://images.brickset.com/sets/images/5572-1.jpg",85,22
6602,"5573","1","Bricks and More","","2008","LEGO Build & Play",1,643,29.35,44.99,,,"https://images.brickset.com/sets/images/5573-1.jpg",383,116
6321,"5574","1","Bricks and More","","2008","Basic Bricks",,280,6.49,12.99,17.99,,"https://images.brickset.com/sets/images/5574-1.jpg",265,167
6355,"5575","1","Duplo","","2008","Basic Bricks - Medium",,45,8.49,14.99,,,"https://images.brickset.com/sets/images/5575-1.jpg",87,22
6356,"5576","1","Bricks and More","","2008","Basic Bricks - Medium",,378,8.29,,,,"https://images.brickset.com/sets/images/5576-1.jpg",365,159
6357,"5577","1","Duplo","","2008","Basic Bricks - Large",,65,12.99,16.99,,,"https://images.brickset.com/sets/images/5577-1.jpg",55,31
6358,"5578","1","Bricks and More","","2008","Basic Bricks - Large",,500,12.99,19.99,,,"https://images.brickset.com/sets/images/5578-1.jpg",323,230
6458,"5582","1","Bricks and More","","2008","Ultimate LEGO Town Building Set",,689,24.49,49.99,,,"https://images.brickset.com/sets/images/5582-1.jpg",183,161
6320,"5583","1","Duplo","","2008","Fun with Wheels",,78,18.59,29.99,,,"https://images.brickset.com/sets/images/5583-1.jpg",41,24
6322,"5584","1","Bricks and More","","2008","Fun with Wheels",,650,17.59,29.99,,,"https://images.brickset.com/sets/images/5584-1.jpg",179,128
6354,"5585","1","Bricks and More","","2008","Pink Brick Box",,216,13.99,19.99,21.99,17.99,"https://images.brickset.com/sets/images/5585-1.jpg",884,97
6452,"5593","1","Duplo","LEGO Ville","2008","Circus",3,61,39.99,49.99,69.99,,"https://images.brickset.com/sets/images/5593-1.jpg",180,60
6243,"5596","1","Duplo","Dino","2008","Dino Birthday",,9,7.99,12.99,,,"https://images.brickset.com/sets/images/5596-1.jpg",263,99
6244,"5597","1","Duplo","Dino","2008","Dino Trap",1,28,14.65,24.99,,,"https://images.brickset.com/sets/images/5597-1.jpg",188,86
6245,"5598","1","Duplo","Dino","2008","Dino Valley",3,52,34.99,49.99,,,"https://images.brickset.com/sets/images/5598-1.jpg",192,110
6267,"5601","1","Duplo","LEGO Ville","2008","Fire Station",3,72,49.99,59.99,79.99,64.99,"https://images.brickset.com/sets/images/5601-1.jpg",395,89
6268,"5602","1","Duplo","LEGO Ville","2008","Police Station",2,28,24.99,39.99,59.99,,"https://images.brickset.com/sets/images/5602-1.jpg",328,59
6269,"5603","1","Duplo","LEGO Ville","2008","Fire Chief",1,7,6.99,8.99,9.99,8.99,"https://images.brickset.com/sets/images/5603-1.jpg",780,50
6270,"5604","1","Duplo","LEGO Ville","2008","Supermarket",2,62,24.99,39.99,49.99,,"https://images.brickset.com/sets/images/5604-1.jpg",294,73
6271,"5605","1","Duplo","LEGO Ville","2008","Tanker Truck",1,17,17.59,24.99,,,"https://images.brickset.com/sets/images/5605-1.jpg",359,79
6453,"5606","1","Duplo","LEGO Ville","2008","My First Train",1,10,9.99,16.99,17.99,,"https://images.brickset.com/sets/images/5606-1.jpg",380,42
6508,"5607","1","Duplo","LEGO Ville","2008","Track Repair Train",1,16,14.65,16.99,,,"https://images.brickset.com/sets/images/5607-1.jpg",156,90
6454,"5608","1","Duplo","LEGO Ville","2008","Train Starter Set",3,64,40.99,59.99,89.99,49.99,"https://images.brickset.com/sets/images/5608-1.jpg",704,87
6455,"5609","1","Duplo","LEGO Ville","2008","Deluxe Train Set",3,116,81.99,119.99,159.99,109.99,"https://images.brickset.com/sets/images/5609-1.jpg",736,108
6222,"5610","1","City","Construction","2008","Builder",1,23,2.45,3.49,,,"https://images.brickset.com/sets/images/5610-1.jpg",5228,1589
6223,"5611","1","City","Traffic","2008","Public Works",1,31,1.95,3.49,,,"https://images.brickset.com/sets/images/5611-1.jpg",4276,1527
6224,"5612","1","City","Police","2008","Police Officer",1,21,2.49,3.49,,,"https://images.brickset.com/sets/images/5612-1.jpg",5523,1000
6225,"5613","1","City","Fire","2008","Firefighter",1,25,2.45,3.49,,,"https://images.brickset.com/sets/images/5613-1.jpg",4320,951
6226,"5614","1","Castle","Fantasy Era","2008","The Good Wizard",1,16,1.95,,,,"https://images.brickset.com/sets/images/5614-1.jpg",3313,1529
6227,"5615","1","Castle","Fantasy Era","2008","The Knight",1,21,1.99,3.49,,,"https://images.brickset.com/sets/images/5615-1.jpg",3939,1137
6228,"5616","1","Space","Mars Mission","2008","Mini-Robot",2,24,1.95,3.49,,,"https://images.brickset.com/sets/images/5616-1.jpg",2047,753
6229,"5617","1","Space","Mars Mission","2008","Alien Jet",1,21,1.95,,,,"https://images.brickset.com/sets/images/5617-1.jpg",1176,716
6434,"5618","1","Castle","Fantasy Era","2008","Troll Warrior",1,19,2.49,3.49,,,"https://images.brickset.com/sets/images/5618-1.jpg",2663,1081
6422,"5619","1","Space","Mars Mission","2008","Crystal Hawk",1,26,2.45,3.49,,,"https://images.brickset.com/sets/images/5619-1.jpg",1316,708
6442,"5620","1","City","Construction","2008","Street Cleaner",1,22,2.49,3.49,,,"https://images.brickset.com/sets/images/5620-1.jpg",4408,1372
6444,"5621","1","City","Coast Guard","2008","Coast Guard Kayak",1,21,2.45,3.49,,,"https://images.brickset.com/sets/images/5621-1.jpg",2860,1189
6492,"5625","1","City","Police","2008","Police 4x4",1,33,,,,,"https://images.brickset.com/sets/images/5625-1.jpg",1156,1074
6595,"5626","1","City","Coast Guard","2008","Coast Guard Bike",1,12,,,,,"https://images.brickset.com/sets/images/5626-1.jpg",959,1558
6493,"5627","1","City","Construction","2008","Mini Dozer",1,23,,,,,"https://images.brickset.com/sets/images/5627-1.jpg",1873,1265
